Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Variable: Mean value of annual precipitation across the year (mm),Description: Mean value of annual precipitation across the year (mm),Comment: Mean value of annual precipitation across the year (mm),Variable: Mean value of monthly temperature across the year (°C),Description: Mean value of monthly temperature across the year (°C),Comment: Mean value of monthly temperature across the year (°C),Variable: Variance in monthly precipitation means,Description: Variance in monthly precipitation means,Comment: Variance in monthly precipitation means
Ethnographic Atlas,Nomlaki,Nc1,xd1107,Nomlaki (Nc1),,,39,-122,39,-122,noml1242,Nomlaki,,Wintuan,73004.3637,,,14.90478876,,,8706760315,,
Western North American Indian database,Bitterroot Salish,WNAI105,xd1144,Flathead (J105),Southeast,NR19,47.5,-114,47.5,114,kali1309,Kalispel,,Salishan,89126.28802,,,3.227367017,,,3350923624,,
Binford Hunter-Gatherer,Nomlaki,B153,xd1107,Nomlaki (B153),,,40,-122.56,40,-122.56,noml1242,Nomlaki,,Wintuan,100528.5107,,,12.94194105,,,13992458477,,
Ethnographic Atlas,Nomoians,If10,xd825,Nomoians (If10),,,6.89,152.74,6,153,mort1237,Mortlockese,mrl,Austronesian,292255.5914,,,27.61067103,,,19103954929,,
Western North American Indian database,Nongatl,WNAI42,xd1434,Nongatl Athapaskan (J42),,,40.4,-123.6,40.4,123.6,wail1244,Wailaki,wlk,Athapaskan-Eyak-Tlingit,90232.70344,,,12.4760452,,,9563819292,,
Ethnographic Atlas,Nononke,Ag28,xd264,Nono (Ag28),,,14,-4,14,-4,jena1242,Jenaama Bozo,bze,Mande,53792.63863,,,26.80436338,,,4763256988,,
Standard cross-cultural sample,Amhara,SCCS37,xd455,Amhara (SCCS37),Amhara,MP05,12.5,37.75,12.5,37.75,amha1245,Amharic,amh,Afro-Asiatic,73701.39815,,,19.55978238,,,7102274111,,
Ethnographic Atlas,Huchnom,Nc16,xd1114,Huchnom (Nc16),,,39,-123,39,-123,yuki1243,Yuki,yuk,Yuki-Wappo,63918.08859,,,14.39151431,,,6496817890,,
Binford Hunter-Gatherer,Nootka,B273,xd1070,Nootka (B273),Nuu-chah-nulth,NE11,49.34,-125.74,49.34,-125.74,nuuc1236,Nuu-chah-nulth,nuk,Wakashan,150754.1888,,,8.906838643,,,13218156454,,
Ethnographic Atlas,Dene,Na30,xd1046,Chipewyan (Na30),Chipewyan,ND07,60,-105,60,-105,chip1261,Chipewyan,chp,Athapaskan-Eyak-Tlingit,37217.29331,,,-5.323807155,,,356258273.9,,
Standard cross-cultural sample,Huichol,SCCS152,xd1288,Huichol (SCCS152),,,22,-105,22,-105,huic1243,Huichol,hch,Uto-Aztecan,140587.693,,,23.30968851,,,16962515259,,
Ethnographic Atlas,Hukundika,Nd5,xd1185,Hukundika (Nd5),,,42,-112,42,-112,nort2955,Northern Shoshoni,,Uto-Aztecan,45545.96006,,,6.968844612,,,1062440646,,
Binford Hunter-Gatherer,Hukundika,B213,xd1185,Hukundika Shoshoni (B213),,,41.55,-112.22,41.55,-112.22,nort2955,Northern Shoshoni,,Uto-Aztecan,43053.48678,,,7.403452733,,,896323221.3,,
Standard cross-cultural sample,Northern Aranda,SCCS91,xd772,Aranda (SCCS91),Aranda,OI08,-24.25,133.5,-24.25,133.5,east2379,Eastern Arrernte,aer,Pama-Nyungan,61707.63016,,,20.75211672,,,3710057302,,
Ethnographic Atlas,Katikitegon,Na38,xd1054,Katikitegon (Na38),,,46,-92,46,-92,uppe1274,Upper Michigan-Wisconsin Chippewa,,Algic,56309.02457,,,6.476115123,,,1031154627,,
Binford Hunter-Gatherer,Hukwe,B67,xd929,Hukwe (B67),,,-16.93,24.32,-16.93,24.32,kxoe1243,Kxoe,xuu,Khoe-Kwadi,101459.3214,,,21.772186,,,16141989091,,
Ethnographic Atlas,Hunde,Ae15,xd133,Hunde (Ae15),,,-2,28,-2,28,hund1239,Hunde,hke,Atlantic-Congo,217050.8554,,,19.4164806,,,23459360810,,
Binford Hunter-Gatherer,DeneTha,B345,xd1034,Slave (B345),,,61.15,-119.5,61.15,-119.5,sout2959,South Slavey,xsl,Athapaskan-Eyak-Tlingit,28089.12127,,,-3.418566588,,,201103748.2,,
Binford Hunter-Gatherer,Hupa,B180,xd1096,Hupa (B180),,,40.93,-123.61,40.93,-123.61,hupa1239,Hupa,hup,Athapaskan-Eyak-Tlingit,95250.29751,,,12.11936958,,,9910907385,,
Ethnographic Atlas,Northern Foothill Yokuts,Nc3,xd1129,Yokuts (Nc3),Yokuts,NS29,36,-120,36,-120,nort2937,Northern Foothill Yokuts,,Yokutsan,39785.49329,,,15.66332345,,,3355644660,,
Western North American Indian database,Northern Miwok,WNAI68,xd1420,Northern Miwok (J68),,,38.5,-121,38.5,121,nort2968,Northern Sierra Miwok,nsq,Miwok-Costanoan,76485.83338,,,14.0243494,,,10079330346,,
Ethnographic Atlas,Huron,Ng1,xd1244,Huron (Ng1),,,44,-78,44,-78,wyan1247,Wyandot,wya,Iroquoian,75250.29788,,,7.306836644,,,1117728850,,
Standard cross-cultural sample,Toda,SCCS61,xd680,Toda (SCCS61),Toda,AW60,11.5,76.5,11.5,76.5,toda1252,Toda,tcx,Dravidian,196914.3667,,,24.26219321,,,36643643801,,
Ethnographic Atlas,Northern Pomo,Nc17,xd1115,Northern Pomo (Nc17),Pomo,NS18,39,-123,39,-123,nort2966,Northern Pomo,pej,Pomoan,63918.08859,,,14.39151431,,,6496817890,,
Binford Hunter-Gatherer,Northern Pomo,B173,xd1115,Nothern Pomo (B173),Pomo,NS18,39.34,-123.29,39.34,-123.29,nort2966,Northern Pomo,pej,Pomoan,75064.40181,,,13.5685491,,,8215209201,,
Ethnographic Atlas,Bohogue,Nd45,xd1180,Bohogue (Nd45),,,43,-112,43,-112,nort2955,Northern Shoshoni,,Uto-Aztecan,48456.81133,,,5.599373064,,,1174047139,,
Standard cross-cultural sample,Northern Saulteaux,SCCS127,xd1049,Saulteaux (SCCS127),Ojibwa,NG06,52,-95.5,52,-95.5,alba1270,Albany River Ojibwa,,Algic,42363.33643,,,1.479570546,,,506258688.6,,
Ethnographic Atlas,Northern Saulteaux,Na33,xd1049,Northern Saulteaux (Na33),Ojibwa,NG06,52,-98,52,-98,alba1270,Albany River Ojibwa,,Algic,35743.08096,,,2.477847848,,,436645016.7,,
Standard cross-cultural sample,Iban,SCCS85,xd750,Iban (SCCS85),Iban,OC06,2,113,2,113,iban1264,Iban,iba,Austronesian,241816.67,,,23.87406324,,,11016841047,,
Ethnographic Atlas,Iban,Ib1,xd750,Iban (Ib1),Iban,OC06,2,112,2,112,iban1264,Iban,iba,Austronesian,236496.7965,,,24.86346763,,,12657819206,,
Ethnographic Atlas,Toedokado,Nd28,xd1161,Toedokado (Nd28),,,40,-118,40,-118,sout2967,South Northern Paiute,,Uto-Aztecan,38729.00014,,,8.32207953,,,1028244706,,
Ethnographic Atlas,Ibibio,Af20,xd198,Ibibio (Af20),,,5,8,5,8,ibib1240,Ibibio,ibb,Atlantic-Congo,164988.0098,,,24.77192821,,,10702093361,,
Ethnographic Atlas,Icelanders,Cg2,xd542,Icelanders (Cg2),Early Icelanders,EQ02,64,-20,64,-20,icel1247,Icelandic,isl,Indo-European,98968.54694,,,0.899555602,,,1885856486,,
Ethnographic Atlas,Bontok,Ia8,xd748,Bontok (Ia8),,,17,121,17,121,cent2292,Central Bontoc,lbk,Austronesian,167495.6076,,,25.16045489,,,21137694128,,
Binford Hunter-Gatherer,Norton Sound Inuit,B369,xd1014,Norton Sound Inuit (B369),,,63.98,-160.75,63.98,-160.75,kusk1241,Kuskokwim Yupik,,Eskimo-Aleut,55579.83842,,,-5.670520932,,,926800692.3,,
Ethnographic Atlas,Nsaw,Ae56,xd178,Nsaw (Ae56),,,6,11,6,11,lamn1239,Lamnso',lns,Atlantic-Congo,187740.9144,,,20.74616439,,,15731303961,,
Ethnographic Atlas,Nsungli,Ae57,xd179,Nsungli (Ae57),,,6,11,6,11,limb1268,Limbum,lmp,Atlantic-Congo,187740.9144,,,20.74616439,,,15731303961,,
Ethnographic Atlas,Nuer,Aj3,xd406,Nuer (Aj3),Nuer,FJ22,8,32,8,32,nuer1246,Nuer,nus,Nilotic,134237.6663,,,24.47479061,,,9564558150,,
Binford Hunter-Gatherer,Toedokado,B210,xd1161,Cattail Paiute (B210),,,40.12,-118.37,40.12,-118.37,sout2967,South Northern Paiute,,Uto-Aztecan,41091.94894,,,8.26245955,,,1169247138,,
Ethnographic Atlas,Dera,Cb28,xd478,Dera (Cb28),,,10,12,10,12,dera1248,Dera (Nigeria),kna,Afro-Asiatic,90547.65691,,,24.21019156,,,7393004084,,
Ethnographic Atlas,Tohono O'odham,Ni2,xd1287,Papago (Ni2),O'Odham,NU79,31,-112,31,-112,toho1246,Tohono O'odam,,Uto-Aztecan,25309.42568,,,22.68989319,,,761092851.8,,
Ethnographic Atlas,Didinga,Aj19,xd394,Didinga (Aj19),,,4,34,4,34,didi1258,Didinga,did,Surmic,101808.4703,,,24.75381072,,,8520817898,,
Western North American Indian database,Tohono O'odham,WNAI146,xd1287,Papago (J146),O'Odham,NU79,32,-112,32,112,toho1246,Tohono O'odam,,Uto-Aztecan,24749.73991,,,21.64801915,,,704821051.5,,
Binford Hunter-Gatherer,Bunurong,B134,xd978,Bunurong (B134),,,-38.48,145.23,-38.93,145.07,woiw1237,Woiwurrung,wyi,Pama-Nyungan,64634.74943,,,14.06078821,,,921326133.1,,
Standard cross-cultural sample,Tohono O'odham,SCCS151,xd1287,Papago (SCCS151),O'Odham,NU79,32,-112,32,-112,toho1246,Tohono O'odam,,Uto-Aztecan,24749.73991,,,21.64801915,,,704821051.5,,
Ethnographic Atlas,Bikinians,If12,xd827,Bikinians (If12),Marshalls,OR11,11.7,165.29,12,165,rali1241,Rälik,,Austronesian,159342.507,,,27.18514689,,,12438316825,,
Binford Hunter-Gatherer,Kawich Mountain Shoshoni,B203,xd988,Kawich Mountain Shoshoni (B203),,,37.92,-116.45,37.92,-116.45,west2622,Western Shoshoni,,Uto-Aztecan,36272.48287,,,8.77800214,,,1281718855,,
Ethnographic Atlas,Buryat,Eb6,xd614,Buryat (Eb6),,,52,107,52,107,russ1264,Russia Buriat,bxr,Mongolic,39014.93896,,,-1.361441369,,,1213492165,,
Ethnographic Atlas,Tolkepaya,Nd67,xd1204,Tolkepaya (Nd67),,,34,-114,34,-114,yava1252,Yavapai,,Cochimi-Yuman,22721.04238,,,19.80877345,,,909698008.8,,
Ethnographic Atlas,Bungi,Ne14,xd1213,Bungi (Ne14),Ojibwa,NG06,51,-100,51,-100,west1510,Western Ojibwa,ojw,Algic,35106.61666,,,3.681031807,,,509217080.3,,
Ethnographic Atlas,Kazakh,Eb1,xd609,Kazak (Eb1),Kazakh,RQ02,48,70,48,70,kaza1248,Kazakh,kaz,Turkic,30907.34359,,,7.610945212,,,293776214.2,,
Ethnographic Atlas,Boki,Af17,xd194,Boki (Af17),,,6,9,6,9,boky1238,Bokyi,bky,Atlantic-Congo,178809.3073,,,22.8464794,,,13895927578,,
Binford Hunter-Gatherer,Tolowa,B178,xd1103,Tolowa (B178),,,41.87,-123.92,41.87,-123.92,tolo1259,Tolowa-Chetco,tol,Athapaskan-Eyak-Tlingit,107464.344,,,11.66892207,,,11688688571,,
Ethnographic Atlas,Birom,Ah17,xd306,Birom (Ah17),,,10,9,10,9,bero1242,Berom,bom,Atlantic-Congo,110037.098,,,23.33548115,,,10752520350,,
Ethnographic Atlas,Amhara,Ca7,xd455,Amhara (Ca7),Amhara,MP05,13,38,13,38,amha1245,Amharic,amh,Afro-Asiatic,52327.22873,,,19.4818178,,,3528182994,,
Ethnographic Atlas,Bilaan,Ia17,xd740,Bilaan (Ia17),,,6,125,6,125,koro1310,Koronadal Blaan,bpr,Austronesian,229276.3268,,,26.57103262,,,10256494765,,
Ethnographic Atlas,Ami,Ia9,xd749,Ami (Ia9),,,22.7,121.05,22,121,amis1246,Amis,ami,Austronesian,131471.0343,,,22.78302163,,,15275025962,,
Ethnographic Atlas,Bihari,Ef10,xd662,Bihari (Ef10),Bihar,AW02,25,86,25,86,mait1250,Maithili,mai,Indo-European,89950.90607,,,25.8110775,,,10045223472,,
Ethnographic Atlas,Toma,Af11,xd188,Toma (Af11),,,11,-9,11,-9,toma1245,Toma,tod,Mande,118206.5057,,,24.71808026,,,15666431728,,
Ethnographic Atlas,Djafun,Cb21,xd471,Djafun (Cb21),,,8,13,8,13,adam1253,Adamawa Fulfulde,fub,Atlantic-Congo,129090.0162,,,22.52847949,,,11437808523,,
Ethnographic Atlas,Sapei,Aj27,xd403,Sapei (Aj27),,,1,35,1,35,kups1238,Kupsabiny,kpz,Nilotic,72322.03149,,,20.56682952,,,6707058434,,
Ethnographic Atlas,Sapo,Af49,xd229,Sapo (Af49),,,6,-9,6,-9,sapo1251,Sapo,krn,Atlantic-Congo,189545.0764,,,24.75258992,,,25542539762,,
Ethnographic Atlas,Sara,Ai22,xd351,Sara (Ai22),,,9,18,9,18,sarr1246,Sar,mwm,Central Sudanic,106302.7051,,,25.19426693,,,8563798793,,
Binford Hunter-Gatherer,Djaru,B108,xd956,Djaru (B108),,,-19.16,130,-19.16,130,jaru1254,Jaru,ddj,Pama-Nyungan,85514.75236,,,25.12714439,,,10034960831,,
Standard cross-cultural sample,Saramaccan ,SCCS165,xd1349,Saramacca (SCCS165),Saramaka,SR15,3.5,-55.75,3.5,-55.75,sara1340,Saramaccan,srm,Indo-European,98884.88474,,,24.84095064,,,7982395717,,
Ethnographic Atlas,Saramaccan ,Sc6,xd1349,Saramacca (Sc6),Saramaka,SR15,4,-56,4,-56,sara1340,Saramaccan,srm,Indo-European,98435.44993,,,25.16417264,,,7550246860,,
Ethnographic Atlas,Sarcee,Ne7,xd1226,Sarsi (Ne7),,,54,-110,54,-110,sars1236,Sarsi,srs,Athapaskan-Eyak-Tlingit,34208.54456,,,1.897349458,,,378576904.5,,
Binford Hunter-Gatherer,Sarcee,B260,xd1226,Sarsi (B260),,,53.15,-111.04,53.15,-111.04,sars1236,Sarsi,srs,Athapaskan-Eyak-Tlingit,35822.55538,,,2.657565755,,,427334616.5,,
Standard cross-cultural sample,Twana,SCCS133,xd1079,Twana (SCCS133),,,47.43,-123.25,47.43,-123.25,twan1247,Twana,twa,Salishan,124285.276,,,9.477230936,,,10458341660,,
Ethnographic Atlas,Sateré Mawé,Sd5,xd1357,Maue (Sd5),,,-4,-57,-4,-57,sate1243,Sateré-Mawé,mav,Tupian,186124.3705,,,24.83698322,,,16582574468,,
Ethnographic Atlas,Sawakudokwa,Nd25,xd1158,Sawakudokwa (Nd25),,,41,-118,41,-118,nort1551,North Northern Paiute,,Uto-Aztecan,40779.19349,,,8.388955761,,,957197525.1,,
Ethnographic Atlas,Bozo,Ag7,xd295,Bozo (Ag7),,,14,-5,14,-5,tiey1235,Tiéyaxo Bozo,boz,Mande,53152.94506,,,27.19444912,,,4623134063,,
Ethnographic Atlas,Sekani,Na28,xd1044,Sekani (Na28),,,56,-123,56,-123,seka1250,Sekani,sek,Athapaskan-Eyak-Tlingit,74145.93064,,,-1.783701181,,,1098392263,,
Binford Hunter-Gatherer,Sekani,B343,xd1044,Sekani (B343),,,56.14,-120,56.14,-120,seka1250,Sekani,sek,Athapaskan-Eyak-Tlingit,46257.98163,,,0.186021984,,,439959472.4,,
Binford Hunter-Gatherer,Sekele,B71,xd931,Sekele (B71),,,-16.42,19.53,-16.42,19.53,vase1234,Northern Ju,vaj,Kxa,107113.431,,,20.69996397,,,15797049906,,
Ethnographic Atlas,Selkup,Ec11,xd619,Selkup (Ec11),,,59,90,59,90,selk1253,Selkup,sel,Uralic,47072.41292,,,-1.619591672,,,395015262.4,,
Binford Hunter-Gatherer,Twana,B271,xd1079,Twana (B271),,,47.55,-123.16,47.55,-123.16,twan1247,Twana,twa,Salishan,125150.0582,,,9.388561253,,,10347203118,,
Ethnographic Atlas,Sema,Ei16,xd703,Sema (Ei16),,,26,95,26,95,sumi1235,Sumi Naga,nsm,Sino-Tibetan,97213.12026,,,18.62567428,,,7864901987,,
Standard cross-cultural sample,Semang,SCCS77,xd725,Semang (SCCS77),Semang,AN07,5,101.25,5,101.25,kens1248,Kensiu,kns,Austroasiatic,241032.2638,,,25.22073264,,,23289771427,,
Ethnographic Atlas,Burmese,Ei3,xd709,Burmese (Ei3),Burmans,AP04,20,95,20,95,nucl1310,Burmese,mya,Sino-Tibetan,130723.3973,,,25.14945401,,,28371026749,,
Ethnographic Atlas,Semang,Ej3,xd725,Semang (Ej3),Semang,AN07,5,101,5,101,kens1248,Kensiu,kns,Austroasiatic,241032.2638,,,25.22073264,,,23289771427,,
Binford Hunter-Gatherer,Semang,B9,xd725,Semang (B9),Semang,AN07,5.86,101,5.86,101,kens1248,Kensiu,kns,Austroasiatic,219973.1606,,,25.61355624,,,21000934491,,
Ethnographic Atlas,Seminole,Ng2,xd1251,Seminole (Ng2),Seminole,NN16,27,-81,27,-81,mika1239,Mikasuki,mik,Muskogean,106193.7404,,,21.97059972,,,2606950438,,
Ethnographic Atlas,Sena,Ac40,xd67,Sena (Ac40),,,-18,35,-18,35,nucl1396,Sena,seh,Atlantic-Congo,105555.5807,,,23.14150164,,,11245276016,,
Western North American Indian database,Twana,WNAI23,xd1079,Twana Salish (J23),,,47.3,-123,47.3,123,twan1247,Twana,twa,Salishan,123875.2246,,,8.952200594,,,10307999146,,
Ethnographic Atlas,Seneca,Ng10,xd1245,Iroquois (Ng10),Iroquois,NM09,43,-77,43,-77,sene1264,Seneca,see,Iroquoian,82005.77094,,,7.756067881,,,1331502405,,
Ethnographic Atlas,Seniang,Ih2,xd868,Seniang (Ih2),,,-16.51,167.47,-17,167,sout2857,Nahavaq,sns,Austronesian,153148.5798,,,25.77610232,,,13069862410,,
Ethnographic Atlas,Biafada,Ag17,xd252,Biafada (Ag17),,,12,-15,12,-15,biaf1240,Biafada,bif,Atlantic-Congo,60683.52915,,,27.13149932,,,8315296059,,
Ethnographic Atlas,Senoi,Ej14,xd721,Senoi (Ej14),Semai,AN06,4,102,4,102,sema1266,Semai,sea,Austroasiatic,248762.4497,,,24.36833305,,,18691867658,,
Ethnographic Atlas,Senufo,Ag32,xd269,Senufo (Ag32),,,10,-6,10,-6,ceba1235,Cebaara Senoufo,sef,Atlantic-Congo,120487.4658,,,24.96028286,,,14830371534,,
Ethnographic Atlas,Serbs,Ch1,xd546,Serbs (Ch1),Serbs,EF06,44,20,44,20,serb1264,Serbian,srp,Indo-European,66812.48469,,,11.24213075,,,1172118106,,
Binford Hunter-Gatherer,Seri,B143,xd1289,Seri (B143),Seri,NU31,29.59,-112.18,29.59,-112.18,seri1257,Seri,sei,Seri,21935.95517,,,24.02631802,,,650441512.2,,
Ethnographic Atlas,Twana,Nb2,xd1079,Twana (Nb2),,,48,-123,48,-123,twan1247,Twana,twa,Salishan,123088.5277,,,8.960973809,,,9975010264,,
Ethnographic Atlas,Seri,Ni4,xd1289,Seri (Ni4),Seri,NU31,29,-112,29,-112,seri1257,Seri,sei,Seri,25981.0802,,,24.82833869,,,873493185,,
Ethnographic Atlas,Votes,ch28,xd566,Votes (ch28),,,59,29,59,29,voti1245,Votic,vot,Uralic,63221.46173,,,5.67997949,,,481706053.7,,
Binford Hunter-Gatherer,Serrano,B149,xd1130,Serrano (B149),,,34.52,-117,34.52,-117,serr1255,Serrano,ser,Uto-Aztecan,26108.22086,,,16.34897772,,,1551564933,,
Ethnographic Atlas,Dorobo,Aa2,xd2,Dorobo (Aa2),Okiek,FL20,0,36,0,36,okie1245,Okiek,oki,Nilotic,50566.30196,,,19.01419744,,,3357364605,,
Ethnographic Atlas,Serrano,Nc30,xd1130,Serrano (Nc30),,,34,-117,34,-117,serr1255,Serrano,ser,Uto-Aztecan,22265.34414,,,18.0308072,,,1310599269,,
Western North American Indian database,Serrano,WNAI84,xd1130,Serrano (J84),,,34.2,-117,34.2,117,serr1255,Serrano,ser,Uto-Aztecan,24392.77425,,,17.82107695,,,1475670417,,
Ethnographic Atlas,Shako,Ca42,xd451,Shako (Ca42),,,7,36,7,36,shek1245,Sheko,she,Dizoid,134488.7014,,,20.33477998,,,11262949597,,
Ethnographic Atlas,Shambaa,Ad10,xd77,Shambala (Ad10),,,-5,38,-5,38,sham1280,Shambala,ksb,Atlantic-Congo,107772.9768,,,19.71290072,,,3509696126,,
Ethnographic Atlas,Tzeltal,Sa2,xd1318,Tzeltal (Sa2),Tzeltal,NV09,17,-92,17,-92,tzel1254,Tzeltal,tzh,Mayan,96823.55391,,,21.43231547,,,3391600773,,
Ethnographic Atlas,Shangama,Ca25,xd432,Shangama (Ca25),,,6,37,6,37,aari1239,Aari,aiw,South Omotic,83042.00591,,,21.66024055,,,4925033032,,
Ethnographic Atlas,Shantung,Ed10,xd639,Shantung (Ed10),,,37,118,37,118,mand1415,Mandarin Chinese,cmn,Sino-Tibetan,73714.84474,,,11.99241901,,,6707887952,,
Ethnographic Atlas,Dorosie,Ag34,xd271,Dorosie (Ag34),,,11,-4,11,-4,dogo1295,Dogosé,dos,Atlantic-Congo,99722.86983,,,25.60410556,,,12201889548,,
Binford Hunter-Gatherer,Shasta,B179,xd1093,Shasta (B179),,,41.62,-122.7,41.62,-122.7,shas1239,Shasta,sht,Shastan,123381.5036,,,10.49979409,,,15140019026,,
Ethnographic Atlas,Shasta,Nb32,xd1093,Shasta (Nb32),,,41,-122,41,-122,shas1239,Shasta,sht,Shastan,114675.9234,,,9.850562702,,,14695939976,,
Western North American Indian database,Shasta (East),WNAI44,xd1093,East Shasta (J44),,,41.5,-122.3,41.5,122.3,shas1239,Shasta,sht,Shastan,120003.3627,,,10.02812987,,,14901490146,,
Western North American Indian database,Shasta (West),WNAI45,xd1093,West Shasta (J45),,,41.8,-122.8,41.8,122.8,shas1239,Shasta,sht,Shastan,123381.5036,,,10.49979409,,,15140019026,,
Ethnographic Atlas,Ubamer,Ca26,xd433,Ubamer (Ca26),,,6,37,6,37,aari1239,Aari,aiw,South Omotic,83042.00591,,,21.66024055,,,4925033032,,
Standard cross-cultural sample,Shavante,SCCS179,xd1409,Shavante (SCCS179),,,-13.5,-51.5,-13.5,-51.5,xava1240,Xavánte,xav,Nuclear-Macro-Je,118024.232,,,25.23372475,,,15093364988,,
Ethnographic Atlas,Shavante,Sj11,xd1409,Shavante (Sj11),,,-14,-52,-14,-52,xava1240,Xavánte,xav,Nuclear-Macro-Je,117029.9764,,,25.06905708,,,14722356541,,
Ethnographic Atlas,Dorse,Ca41,xd450,Dorse (Ca41),,,6,38,6,38,dorz1235,Dorze,doz,Ta-Ne-Omotic,70074.80586,,,19.26233973,,,3685774521,,
Ethnographic Atlas,Shawiya,Cd8,xd526,Shawiya (Cd8),,,36,7,36,7,tach1249,Chaouia of the Aures,shy,Afro-Asiatic,24390.70733,,,17.29627897,,,342232327.6,,
Ethnographic Atlas,Shawnee,Nf13,xd1233,Shawnee (Nf13),,,37,-85,37,-85,shaw1249,Shawnee,sjw,Algic,100289.0258,,,13.18899255,,,2520386451,,
Ethnographic Atlas,Sherbro,Af14,xd191,Sherbro (Af14),,,7.52,-12.69,7,-13,sher1258,Sherbro,bun,Atlantic-Congo,216257.6931,,,26.22668906,,,58102715827,,
Ethnographic Atlas,Sherente,Sj2,xd1410,Sherente (Sj2),,,-9,-48,-9,-48,xere1240,Xerénte,xer,Nuclear-Macro-Je,175512.836,,,26.01899225,,,35600178322,,
Ethnographic Atlas,Udalan Tuareg,Cc13,xd491,Udalan (Cc13),,,16,0,16,0,timb1263,Timbuktu,,Afro-Asiatic,29100.00103,,,27.14712772,,,1619111736,,
Standard cross-cultural sample,Uttar Pradesh,SCCS63,xd663,Uttar Pradesh (SCCS63),Uttar,AW19,25.92,83,25.92,83,bhoj1244,Bhojpuri,bho,Indo-European,83071.75491,,,26.00683427,,,9639772522,,
Ethnographic Atlas,Sherpa,Ee6,xd658,Sherpa (Ee6),Sherpa,AK06,28,87,28,87,sher1255,Solu-Khumbu Sherpa,xsr,Sino-Tibetan,278598.7207,,,5.839308934,,,1.25E+11,,
Ethnographic Atlas,Shila,Ac35,xd61,Shila (Ac35),,,-10,28,-10,28,shil1264,Shila,,Atlantic-Congo,147871.9815,,,19.70675128,,,25686541287,,
Ethnographic Atlas,Drawa,Cc15,xd493,Drawa (Cc15),,,31,-7,31,-7,susi1238,Susiua,,Afro-Asiatic,11866.99633,,,16.6632329,,,184707578.4,,
Ethnographic Atlas,Shilluk,Ai6,xd380,Shilluk (Ai6),Shilluk,FJ23,10,32,10,32,shil1265,Shilluk,shk,Nilotic,103203.7507,,,25.47652383,,,6976110728,,
Standard cross-cultural sample,Shilluk,SCCS31,xd380,Shilluk (SCCS31),Shilluk,FJ23,9.75,31.5,9.75,31.5,shil1265,Shilluk,shk,Nilotic,103070.9455,,,25.49383687,,,7214008844,,
Ethnographic Atlas,Shina,Ee5,xd657,Dard (Ee5),,,35,73,35,73,shin1264,Shina,scl,Indo-European,84959.08646,,,8.222065944,,,6511299256,,
Ethnographic Atlas,Shipibo-Conibo,Se9,xd1373,Conibo (Se9),,,-9,-74,-9,-74,ship1254,Shipibo-Conibo,shp,Pano-Tacanan,126312.1661,,,23.21454754,,,7498318656,,
Ethnographic Atlas,Udihe,ec21,xd630,Udihe (ec21),,,47,136,47,136,udih1248,Udihe,ude,Tungusic,73980.19285,,,0.277397471,,,3073162683,,
Binford Hunter-Gatherer,Shiriana,B36,xd1358,Shiriana (B36),Yanoama,SQ18,3.86,-66.17,3.86,-66.17,nina1238,Ninam,shb,Yanomamic,285869.6185,,,22.06864554,,,36395520330,,
Ethnographic Atlas,Shiriana,Sd6,xd1358,Shiriana (Sd6),Yanoama,SQ18,4,-63,4,-63,nina1238,Ninam,shb,Yanomamic,116167.7569,,,21.44272949,,,12017582666,,
Ethnographic Atlas,Bisayan,Ia18,xd741,Bisayan (Ia18),,,10,123,10,123,akla1241,Aklanon,akl,Austronesian,213046.4443,,,26.56049529,,,10327951231,,
Western North American Indian database,Shivwits,WNAI132,xd1188,Shivwits Southern Paiute (J132),,,36.8,-114,36.8,114,sout2969,Southern Paiute,,Uto-Aztecan,37556.25541,,,12.79882365,,,1771573013,,
Ethnographic Atlas,Shivwits,Nd52,xd1188,Shivwits (Nd52),,,36,-117,36,-117,sout2969,Southern Paiute,,Uto-Aztecan,30796.11463,,,13.55958568,,,1686592128,,
Ethnographic Atlas,Shluh,Cd5,xd523,Shluh (Cd5),Shluh,MW11,30,-9,30,-9,susi1238,Susiua,,Afro-Asiatic,4976.777975,,,21.07510635,,,67987837.29,,
Binford Hunter-Gatherer,Shompen,B4,xd901,Shompen (B4),,,7,93.77,7,93.77,shom1245,Shom Peng,sii,Shom Peng,172234.7797,,,26.99160716,,,18646177090,,
Ethnographic Atlas,Udmurt,ch26,xd564,Udmurt (ch26),,,57,53,57,53,sout2681,South Udmurt,,Uralic,59965.61981,,,4.02812937,,,608425489,,
Ethnographic Atlas,Shona,Ab18,xd19,Shona (Ab18),Shona,FS05,-19,31,-19,31,shon1251,Shona,sna,Atlantic-Congo,80000.56697,,,18.61544463,,,9844635651,,
Standard cross-cultural sample,Shuar,SCCS169,xd1367,Jivaro (SCCS169),Jivaro,SD09,-3,-78,-3,-78,shua1257,Shuar,jiv,Chicham,118612.3793,,,20.98180557,,,8841008874,,
Binford Hunter-Gatherer,Burarra,B86,xd941,Anbarra (B86),,,-12.2,134.73,-12.2,134.73,gunn1247,Gun-narta,,Maningrida,153563.1489,,,26.21952701,,,27375577490,,
